url,title,price,Category
https://www.fnp.com/gift/925-silver-full-bloom-sunflower-rakhi,925 Silver Full Bloom Sunflower Rakhi,1049,Single Rakhi
https://www.fnp.com/gift/sneh-single-fancy-nityam-rakhi-personalised-mug,Sneh Single Fancy Nityam Rakhi & Personalised Mug,419,Rakhi With Mugs
https://www.fnp.com/gift/sweet-tiger-design-cake-black-forest-3-kg-eggless,Sweet Tiger Design Cake,1399,Cakes
https://www.fnp.com/gift/luminescent-luster-pearl-rakhi-with-mug-combo,Luminescent Luster Pearl Rakhi & Mug Combo,499,Rakhi With Mugs
https://www.fnp.com/gift/sneh-peacock-rakhi-with-magic-mug,Sneh Peacock Rakhi with Magic Mug,489,Rakhi With Mugs
https://www.fnp.com/gift/adorable-kids-cake-butterscotch-2-kg-eggless,Adorable Kid's Cake,1199,Cakes
https://www.fnp.com/gift/whispering-petals-of-red-roses,Whispering Petals of Red Roses,2999,Flowers
https://www.fnp.com/gift/adorable-kids-cake-chocolate-3-kg-eggless,Adorable Kid's Cake,1199,Cakes
https://www.fnp.com/gift/blossoming-roses-and-spray-carnation-ensemble,Blossoming Roses and Spray Carnation Ensemble,2999,Flowers
https://www.fnp.com/gift/sweet-tiger-design-cake-black-forest-2-kg-eggless,Sweet Tiger Design Cake,1399,Cakes
https://www.fnp.com/gift/minimalistic-evil-eye-rakhi-n-bottle-combo,Minimalistic Evil Eye Rakhi & Bottle Combo,699,Error
https://www.fnp.com/gift/blossoming-rose-trio,Blossoming Rose Trio,3049,Flowers
https://www.fnp.com/gift/sweet-tiger-design-cake-chocolate-3-kg-eggless,Sweet Tiger Design Cake,1399,Cakes
https://www.fnp.com/gift/minimalistic-evil-eye-rakhi-n-personalised-bottle,Minimalistic Evil Eye Rakhi & Personalised Bottle,799,Error
https://www.fnp.com/gift/pearl-rakhi-n-mug-combo,Pearl Rakhi & Mug Combo,549,Rakhi With Mugs
https://www.fnp.com/gift/radiant-yellow-rose-ensemble,Radiant Yellow Rose Ensemble,2649,Flowers
https://www.fnp.com/gift/adorable-kids-cake-truffle-2-kg-eggless,Adorable Kid's Cake,1199,Cakes
